,parcel_id,tax_total,fips,num_bedroom,num_bathroom,tax_delinquency_flag,area_living_finished_total,area_lot,pct_change
5345,12414440,106391,Los Angeles County,4,3,,1536,5095,2.815725304
5346,12414563,630000,Los Angeles County,4,2,,1443,5099,2.815725304
5347,12414663,299799,Los Angeles County,4,2,,1323,5023,2.815725304
5348,12415130,687238,Los Angeles County,4,4,,3352,6891,2.815725304
5349,12415629,101988,Los Angeles County,4,2,,1611,6905,2.815725304
5350,12415682,354425,Los Angeles County,4,2,,1240,5123,2.815725304
5351,12415981,108336,Los Angeles County,1,1,,639,4601,2.815725304
5352,12416273,600159,Los Angeles County,3,2,,2224,6014,2.815725304
5353,12417169,93893,Los Angeles County,4,3,,2311,5002,2.815725304
5354,12417215,72165,Los Angeles County,3,2,,1509,4999,2.815725304
5355,12417299,178265,Los Angeles County,4,2,,1978,6312,2.815725304
5356,12417505,78670,Los Angeles County,3,2,,1801,12085,2.815725304
5357,12417954,247098,Los Angeles County,4,2,,1608,5432,2.815725304
5358,12418611,619760,Los Angeles County,3,2,,2977,12245,2.815725304
5359,12418930,489203,Los Angeles County,4,3,,2930,8324,2.815725304
5360,12419137,134703,Los Angeles County,4,3,,2289,5270,2.815725304
5361,12419498,361516,Los Angeles County,3,2,,1466,9770,2.815725304
5362,12419521,292013,Los Angeles County,2,1,Y,806,7343,2.815725304
5363,12420001,210407,Los Angeles County,2,1,,892,9624,2.815725304
5364,12420492,70732,Los Angeles County,3,2,,1459,5693,2.815725304
5365,12421594,305217,Los Angeles County,3,2,,1503,5000,2.815725304
5366,12421694,128749,Los Angeles County,3,2,,1331,5060,2.815725304
5367,12421986,454310,Los Angeles County,3,2,,1473,5766,2.815725304
5368,12422086,270962,Los Angeles County,3,1,,1359,4994,2.815725304
5369,12422155,392015,Los Angeles County,2,2,,1274,5001,2.815725304
5370,12422278,319571,Los Angeles County,4,2,,1597,5332,2.815725304
5371,12422470,425219,Los Angeles County,4,3,,2208,6409,2.815725304
5372,12422593,629878,Los Angeles County,5,3,,2278,6735,2.815725304
5373,12422792,284690,Los Angeles County,3,2,,1240,5855,2.815725304
5374,12422976,390382,Los Angeles County,3,2,,1008,5124,2.815725304
5375,12423099,58502,Los Angeles County,3,2,,1305,5691,2.815725304
5376,12423199,57477,Los Angeles County,3,2,,1170,5088,2.815725304
5377,12423345,197627,Los Angeles County,4,2,,1462,6107,2.815725304
5378,12423445,226482,Los Angeles County,4,2,,1404,5447,2.815725304
5379,12423545,282824,Los Angeles County,3,2,,1369,5178,2.815725304
5380,12423813,53678,Los Angeles County,2,1,,780,4235,2.815725304
5381,12423997,135547,Los Angeles County,4,2,,1658,5046,2.815725304
5382,12424281,332331,Los Angeles County,3,2,,1467,5009,2.815725304
5383,12424381,115413,Los Angeles County,4,3,,2285,8078,2.815725304
5384,12424404,189233,Los Angeles County,4,3,,2048,6502,2.815725304
5385,12424719,458023,Los Angeles County,3,1,,1189,5740,2.815725304
5386,12424819,92353,Los Angeles County,3,2,,1405,5001,2.815725304
5387,12424842,408511,Los Angeles County,3,2,,1267,5251,2.815725304
5388,12424942,399302,Los Angeles County,5,4,,2502,6504,2.815725304
5389,12425118,385954,Los Angeles County,4,2,,1550,5184,2.815725304
5390,12425241,457753,Los Angeles County,4,2,,1176,5010,2.815725304
5391,12425529,648992,Los Angeles County,4,2,,1638,5002,2.815725304
5392,12425967,408514,Los Angeles County,3,2,,1405,5644,2.815725304
5393,12426382,92570,Los Angeles County,4,2,,1584,5113,2.815725304
5394,12426482,255019,Los Angeles County,5,3,,2224,4983,2.815725304
5395,12427579,411561,Los Angeles County,3,2,,1384,5202,2.815725304
5396,12427948,421113,Los Angeles County,3,2,,1238,5763,2.815725304
5397,12428048,79954,Los Angeles County,3,2,,1464,5002,2.815725304
5398,12428562,235146,Los Angeles County,3,1,,1003,4801,2.815725304
5399,12428708,250615,Los Angeles County,3,2,,1098,5739,2.815725304
5401,12429276,108707,Los Angeles County,3,1,,1064,4998,2.815725304
5402,12430195,274977,Los Angeles County,3,1,,1126,5116,2.815725304
5403,12430741,87262,Los Angeles County,4,2,,1380,5289,2.815725304
5404,12430841,396088,Los Angeles County,4,3,,2111,5351,2.815725304
5405,12430941,65451,Los Angeles County,3,1,,1180,5561,2.815725304
5406,12431041,185552,Los Angeles County,3,2,,1731,5460,2.815725304
5407,12431064,553120,Los Angeles County,4,2,,1944,6659,2.815725304
5408,12431387,366721,Los Angeles County,2,1,,949,5125,2.815725304
5409,12432260,55954,Los Angeles County,3,1,,1064,5001,2.815725304
5410,12432712,297136,Los Angeles County,3,1,,1064,6304,2.815725304
5411,12432804,377000,Los Angeles County,3,1,,1074,5650,2.815725304
5412,12432865,310454,Los Angeles County,3,1,,1036,4999,2.815725304
5413,12433760,74966,Los Angeles County,3,1,,1050,5428,2.815725304
5414,12433783,140811,Los Angeles County,4,1,,1352,5184,2.815725304
5415,12434235,138320,Los Angeles County,2,1,,608,2501,2.815725304
5416,12434350,135890,Los Angeles County,2,1,,836,2496,2.815725304
5417,12434480,453049,Los Angeles County,3,2,,1659,5533,2.815725304
5418,12434580,447623,Los Angeles County,3,2,,1225,5080,2.815725304
5419,12434680,72499,Los Angeles County,2,1,,956,5375,2.815725304
5420,12435003,456461,Los Angeles County,3,2,,1362,5457,2.815725304
5421,12435103,64409,Los Angeles County,3,1,,1242,4953,2.815725304
5422,12435203,236090,Los Angeles County,4,2,,1726,5063,2.815725304
5423,12435303,433821,Los Angeles County,4,1,,1635,5233,2.815725304
5424,12435372,498995,Los Angeles County,3,2,,1360,5099,2.815725304
5425,12435472,239003,Los Angeles County,3,2,,1362,5251,2.815725304
5426,12435841,159498,Los Angeles County,3,1,,1218,5095,2.815725304
5427,12435964,354654,Los Angeles County,3,1,,1658,4835,2.815725304
5428,12436087,347281,Los Angeles County,3,1,,1242,7375,2.815725304
5429,12436210,80069,Los Angeles County,4,2,,1534,5848,2.815725304
5430,12436256,74407,Los Angeles County,3,2,,1285,5610,2.815725304
5431,12436479,61359,Los Angeles County,3,1,,946,5659,2.815725304
5432,12436793,123778,Los Angeles County,4,3,,2370,5491,2.815725304
5433,12436893,723043,Los Angeles County,5,3,,2368,5514,2.815725304
5434,12436993,453925,Los Angeles County,5,3,,2230,5386,2.815725304
5435,12437208,330804,Los Angeles County,3,2,,1417,5552,2.815725304
5436,12437308,101527,Los Angeles County,3,2,,1463,5874,2.815725304
5437,12437620,50345,Los Angeles County,3,2,,1172,5301,2.815725304
5438,12437643,254208,Los Angeles County,2,1,,940,5309,2.815725304
5439,12437866,475413,Los Angeles County,3,3,,1554,7305,2.815725304
5440,12437966,338121,Los Angeles County,3,2,,1064,6146,2.815725304
5441,12438066,72986,Los Angeles County,3,3,,1655,5958,2.815725304
5442,12438173,194335,Los Angeles County,3,2,,1650,5143,2.815725304
5443,12438357,315000,Los Angeles County,3,1,,1053,5200,2.815725304
5444,12438602,640167,Los Angeles County,4,3,,2468,5416,2.815725304
5445,12438702,521758,Los Angeles County,4,3,,3288,5491,2.815725304
5446,12439025,766000,Los Angeles County,3,3,,2277,6468,2.815725304
5447,12439463,154680,Los Angeles County,3,2,,1360,5130,2.815725304
5448,12439563,342883,Los Angeles County,4,2,Y,1383,5747,2.815725304
5449,12439886,502767,Los Angeles County,3,2,,1130,5074,2.815725304
5450,12440409,574602,Los Angeles County,3,3,,2011,7388,2.815725304
5451,12440509,114332,Los Angeles County,3,2,,1193,5770,2.815725304
5452,12440924,262133,Los Angeles County,3,1,,935,7538,2.815725304
5453,12441772,36463,Los Angeles County,3,1,,1066,8161,2.815725304
5454,12442324,45439,Los Angeles County,2,1,,1232,6959,2.815725304
5455,12443007,170603,Los Angeles County,2,1,,868,5358,2.815725304
5456,12443130,68088,Los Angeles County,4,3,,1800,6245,2.815725304
5457,12443360,574621,Los Angeles County,3,2,,1840,6187,2.815725304
5458,12443650,397000,Los Angeles County,3,1,,1468,6117,2.815725304
5459,12444403,298455,Los Angeles County,2,1,,1068,5739,2.815725304
5460,12445192,500761,Los Angeles County,3,3,,3098,8707,2.815725304
5461,12445291,198729,Los Angeles County,2,1,,880,5130,2.815725304
5462,12445390,68535,Los Angeles County,2,1,,1101,8586,2.815725304
5463,12445451,448791,Los Angeles County,3,2,,1692,5715,2.815725304
5464,12445474,59510,Los Angeles County,3,1,Y,1098,8912,2.815725304
5465,12445939,398000,Los Angeles County,3,1,,1105,7807,2.815725304
5466,12446435,248580,Los Angeles County,3,2,,1588,5654,2.815725304
5467,12446488,52168,Los Angeles County,2,2,,1400,6952,2.815725304
5468,12446511,117741,Los Angeles County,2,1,,981,5470,2.815725304
5469,12446938,316193,Los Angeles County,2,2,,1674,5103,2.815725304
5470,12447213,241725,Los Angeles County,2,1,,870,5138,2.815725304
5471,12447405,59924,Los Angeles County,2,1,Y,1364,5662,2.815725304
5472,12447787,356000,Los Angeles County,2,1,,1268,8373,2.815725304
5473,12447987,312601,Los Angeles County,3,3,,1666,6130,2.815725304
5474,12448324,265000,Los Angeles County,2,1,,985,4345,2.815725304
5475,12448669,214100,Los Angeles County,3,1,,1084,4316,2.815725304
5476,12449565,174696,Los Angeles County,3,2,,1209,5316,2.815725304
5477,12449803,239681,Los Angeles County,3,2,,1349,3531,2.815725304
5478,12450183,162249,Los Angeles County,3,2,,1034,4716,2.815725304
5479,12450206,107601,Los Angeles County,2,1,,750,4736,2.815725304
5480,12450581,249360,Los Angeles County,3,1,,1104,6063,2.815725304
5481,12450681,149781,Los Angeles County,4,2,,1080,5965,2.815725304
5482,12450781,245727,Los Angeles County,4,2,,1200,5737,2.815725304
5483,12451269,281765,Los Angeles County,2,1,,980,4960,2.815725304
5484,12451430,323203,Los Angeles County,3,2,,978,4879,2.815725304
5485,12451530,433000,Los Angeles County,3,2,,1976,5304,2.815725304
5486,12451553,326393,Los Angeles County,2,1,Y,878,4265,2.815725304
5487,12451576,174147,Los Angeles County,2,1,,1131,4636,2.815725304
5488,12452043,181532,Los Angeles County,2,1,,1076,4458,2.815725304
5489,12452158,56255,Los Angeles County,2,1,,1287,5606,2.815725304
5490,12452664,225412,Los Angeles County,2,1,,1070,4700,2.815725304
5491,12452817,185898,Los Angeles County,3,2,,1576,6052,2.815725304
5492,12453178,177072,Los Angeles County,2,2,,927,5683,2.815725304
5493,12453470,146669,Los Angeles County,3,2,Y,1108,5876,2.815725304
5494,12453675,250300,Los Angeles County,3,2,,1457,2957,2.815725304
5495,12453882,288277,Los Angeles County,3,1,,1316,5688,2.815725304
5497,12454432,40749,Los Angeles County,2,1,,732,4759,2.815725304
5498,12454600,346792,Los Angeles County,3,2,,1393,4585,2.815725304
5499,12454660,96823,Los Angeles County,2,1,,1385,4945,2.815725304
5500,12454752,212276,Los Angeles County,2,1,,1204,4891,2.815725304
5501,12455410,268505,Los Angeles County,3,1,,1330,4048,2.815725304
5502,12455740,88316,Los Angeles County,3,2,,1507,6746,2.815725304
5503,12455786,289982,Los Angeles County,2,2,,1031,5561,2.815725304
5504,12456430,60542,Los Angeles County,4,2,,1444,5462,2.815725304
5505,12456530,276878,Los Angeles County,3,2,,1506,5539,2.815725304
5506,12456630,332155,Los Angeles County,3,1,,1113,6203,2.815725304
5507,12456745,138742,Los Angeles County,2,1,,1155,7071,2.815725304
5508,12457799,105032,Los Angeles County,3,1,,690,4478,2.815725304
5509,12457945,187926,Los Angeles County,2,1,,1052,4008,2.815725304
5510,12458252,143218,Los Angeles County,2,1,,936,4539,2.815725304
5511,12459002,208933,Los Angeles County,2,1,,944,6432,2.815725304
5512,12459567,66267,Los Angeles County,2,2,Y,1151,10556,2.815725304
5513,12460417,713000,Los Angeles County,4,3,,2555,7236,2.815725304
5514,12460440,304456,Los Angeles County,2,1,,1268,7539,2.815725304
5515,12460601,251364,Los Angeles County,4,1,,1698,7243,2.815725304
5516,12460838,518075,Los Angeles County,3,2,,1780,9864,2.815725304
5517,12461480,448000,Los Angeles County,3,1,,1260,5927,2.815725304
5518,12461603,348365,Los Angeles County,4,2,,1498,8906,2.815725304
5519,12461995,153940,Los Angeles County,2,1,,1365,6150,2.815725304
5520,12462095,212116,Los Angeles County,2,1,,1064,5916,2.815725304
5521,12462333,218697,Los Angeles County,2,1,,1247,6206,2.815725304
5522,12462402,373610,Los Angeles County,2,2,,1343,7473,2.815725304
5523,12462502,568638,Los Angeles County,4,2,,2028,6176,2.815725304
5524,12462625,242558,Los Angeles County,2,2,,1436,6382,2.815725304
5525,12462725,574805,Los Angeles County,3,2,,1644,6328,2.815725304
5526,12462848,446713,Los Angeles County,3,2,,2279,11029,2.815725304
5527,12462948,750000,Los Angeles County,3,3,,2745,6075,2.815725304
5528,12463360,397668,Los Angeles County,3,2,,1172,6539,2.815725304
5529,12463383,612193,Los Angeles County,2,2,,1585,6707,2.815725304
5530,12463498,298606,Los Angeles County,3,2,,2072,6492,2.815725304
5531,12463962,82976,Los Angeles County,2,2,,1410,6343,2.815725304
5532,12464199,497074,Los Angeles County,4,3,,2622,7438,2.815725304
5533,12464445,313571,Los Angeles County,3,2,,1867,9271,2.815725304
5534,12464568,1441644,Los Angeles County,4,3,,4227,16966,2.815725304
5535,12465187,821207,Los Angeles County,5,4,,4133,15328,2.815725304
5536,12465387,543933,Los Angeles County,3,2,,2124,8695,2.815725304
5537,12466209,175964,Los Angeles County,2,1,,817,4591,2.815725304
5538,12466332,120920,Los Angeles County,4,3,,2536,6723,2.815725304
5539,12466747,525000,Los Angeles County,3,1,,1250,3497,2.815725304
5540,12466847,290577,Los Angeles County,3,2,,1313,2755,2.815725304
5541,12467469,71136,Los Angeles County,2,2,,1456,7689,2.815725304
5542,12468393,190518,Los Angeles County,2,1,,961,3825,2.815725304
5543,12469035,172262,Los Angeles County,4,4,,3179,12347,2.815725304
5545,12469633,74934,Los Angeles County,3,2,,1642,5000,2.815725304
5546,12469856,78052,Los Angeles County,3,2,,1622,5000,2.815725304
5547,12470063,238033,Los Angeles County,3,1,,1742,7253,2.815725304
5548,12471201,424235,Los Angeles County,3,1,,1210,5170,2.815725304
5549,12471301,483000,Los Angeles County,3,1,,1165,5000,2.815725304
5550,12471401,343439,Los Angeles County,2,2,,1204,5601,2.815725304
5551,12471547,421069,Los Angeles County,3,1,,1210,5947,2.815725304
5552,12471670,64836,Los Angeles County,3,1,,1210,5400,2.815725304
5553,12471770,186303,Los Angeles County,3,2,,1937,5712,2.815725304
5554,12471870,491000,Los Angeles County,3,2,,1299,5203,2.815725304
5555,12471953,391911,Los Angeles County,3,2,,1520,5686,2.815725304
5556,12472222,293285,Los Angeles County,4,3,,1822,5750,2.815725304
5557,12472620,352413,Los Angeles County,3,2,,1417,4990,2.815725304
5558,12473295,329098,Los Angeles County,2,1,,1530,6127,2.815725304
5559,12473960,242780,Los Angeles County,3,2,,1337,5164,2.815725304
5560,12474060,68608,Los Angeles County,3,1,,1225,6747,2.815725304
5561,12474152,195499,Los Angeles County,3,1,,1219,7852,2.815725304
5562,12474625,307579,Los Angeles County,2,1,,1140,5299,2.815725304
5563,12474740,64314,Los Angeles County,3,1,,1162,8209,2.815725304
5564,12474763,65060,Los Angeles County,3,1,,1165,5458,2.815725304
5565,12475155,430000,Los Angeles County,3,1,,1128,5164,2.815725304
5566,12476428,209018,Los Angeles County,2,1,,726,5140,2.815725304
5567,12476595,235583,Los Angeles County,2,1,,840,5397,2.815725304
5568,12476694,215217,Los Angeles County,3,1,,1369,5993,2.815725304
5569,12476997,238491,Los Angeles County,2,1,,1415,20518,2.815725304
5570,12477195,307969,Los Angeles County,3,3,,1728,3131,2.815725304
5571,12477909,339401,Los Angeles County,4,3,,2353,9432,2.815725304
5572,12478370,65227,Los Angeles County,3,2,,1263,6024,2.815725304
5573,12478493,470000,Los Angeles County,4,2,,1696,5898,2.815725304
5574,12478539,95304,Los Angeles County,3,2,,1998,8708,2.815725304
5575,12479685,91768,Los Angeles County,3,2,,1417,5502,2.815725304
5576,12480023,228260,Los Angeles County,3,2,,1192,5307,2.815725304
5577,12480169,61353,Los Angeles County,3,1,,1118,6962,2.815725304
5578,12480892,366721,Los Angeles County,2,1,,848,5752,2.815725304
5579,12481122,269925,Los Angeles County,3,1,,1007,5621,2.815725304
5580,12481222,192216,Los Angeles County,3,2,,1371,5454,2.815725304
5581,12481322,251874,Los Angeles County,3,1,,1053,5363,2.815725304
5582,12481568,357109,Los Angeles County,3,1,,1022,5374,2.815725304
5583,12481891,283316,Los Angeles County,4,3,,2064,6558,2.815725304
5584,12482090,70391,Los Angeles County,4,2,,1472,5600,2.815725304
5585,12483050,238220,Los Angeles County,3,1,,1066,4999,2.815725304
5586,12483219,146974,Los Angeles County,3,2,,1314,5331,2.815725304
5587,12483319,401803,Los Angeles County,3,1,,1242,5350,2.815725304
5588,12483419,438000,Los Angeles County,3,1,,1026,5300,2.815725304
5589,12483519,454000,Los Angeles County,3,1,,1068,6593,2.815725304
5590,12483619,484211,Los Angeles County,4,2,,1618,5149,2.815725304
5591,12483841,416794,Los Angeles County,4,2,,1901,6457,2.815725304
5592,12484064,420000,Los Angeles County,2,2,,1527,5371,2.815725304
5593,12484187,228539,Los Angeles County,3,2,,1193,5357,2.815725304
5594,12484979,267869,Los Angeles County,3,1,,1082,5546,2.815725304
5595,12485178,174897,Los Angeles County,3,2,,1690,5455,2.815725304
5596,12485301,66455,Los Angeles County,3,2,,1176,5401,2.815725304
5597,12485401,340810,Los Angeles County,3,2,,1562,5772,2.815725304
5598,12485547,61549,Los Angeles County,3,1,,1076,4844,2.815725304
5599,12486123,254544,Los Angeles County,3,1,,1066,5039,2.815725304
5600,12486223,435458,Los Angeles County,3,1,,1122,5225,2.815725304
5601,12486369,68286,Los Angeles County,4,2,,1334,5144,2.815725304
5602,12486538,233070,Los Angeles County,3,1,,1122,5093,2.815725304
5603,12486638,76852,Los Angeles County,5,2,,1596,5000,2.815725304
5604,12486661,134842,Los Angeles County,3,1,,1076,5000,2.815725304
5605,12486784,294727,Los Angeles County,3,2,,1688,5000,2.815725304
5606,12487107,79706,Los Angeles County,3,2,,1473,5170,2.815725304
5607,12487207,543000,Los Angeles County,3,2,,1730,5155,2.815725304
5608,12487307,91751,Los Angeles County,3,2,,1736,5495,2.815725304
5609,12487376,560000,Los Angeles County,4,2,,2028,5491,2.815725304
5610,12488437,417000,Los Angeles County,2,1,,1218,7841,2.815725304
5611,12488790,46987,Los Angeles County,2,1,,1076,5048,2.815725304
5612,12489588,219167,Los Angeles County,3,2,,1421,7902,2.815725304
5613,12489688,439126,Los Angeles County,3,2,,2850,7876,2.815725304
5614,12489841,495382,Los Angeles County,2,1,,1673,8395,2.815725304
5615,12490064,794849,Los Angeles County,4,3,,3257,15608,2.815725304
5616,12490125,227546,Los Angeles County,2,1,,1102,7452,2.815725304
5617,12490148,414664,Los Angeles County,5,4,,2602,8679,2.815725304
5618,12490271,265092,Los Angeles County,3,2,,2011,6389,2.815725304
5619,12490524,152365,Los Angeles County,3,3,,2232,8428,2.815725304
5620,12490615,145074,Los Angeles County,2,2,,1628,6913,2.815725304
5621,12490738,558669,Los Angeles County,2,1,,1403,9339,2.815725304
5622,12490929,149929,Los Angeles County,3,2,,1809,6285,2.815725304
5623,12491175,459000,Los Angeles County,3,1,,1121,6658,2.815725304
5624,12491321,368858,Los Angeles County,2,2,,1173,5425,2.815725304
5625,12492305,519900,Los Angeles County,3,2,,1244,5151,2.815725304
5626,12492405,364008,Los Angeles County,3,1,,1138,5002,2.815725304
5627,12492718,64617,Los Angeles County,3,1,,1218,5220,2.815725304
5628,12492818,275915,Los Angeles County,3,2,,1450,5177,2.815725304
5629,12492941,262208,Los Angeles County,3,1,,1802,5176,2.815725304
5630,12493041,208994,Los Angeles County,2,1,,940,5282,2.815725304
5631,12493141,414965,Los Angeles County,2,2,,1647,5133,2.815725304
5632,12493241,375015,Los Angeles County,2,1,,907,5022,2.815725304
5633,12493387,65836,Los Angeles County,4,1,,1264,4826,2.815725304
5634,12493487,434926,Los Angeles County,2,2,,1744,5331,2.815725304
5635,12494110,497272,Los Angeles County,3,1,,1008,5565,2.815725304
5636,12494379,157893,Los Angeles County,3,1,,1280,5979,2.815725304
5637,12494525,499790,Los Angeles County,3,2,,1203,5918,2.815725304
5638,12494625,307036,Los Angeles County,3,1,,1120,5987,2.815725304
5639,12494725,340597,Los Angeles County,2,1,,1017,5628,2.815725304
5640,12495048,122838,Los Angeles County,2,2,,1396,5497,2.815725304
5641,12495148,341094,Los Angeles County,2,2,,1017,8339,2.815725304
5642,12495671,71142,Los Angeles County,3,2,,1174,5494,2.815725304
5643,12496086,180221,Los Angeles County,2,1,,930,5874,2.815725304
5644,12496186,636000,Los Angeles County,4,3,,2130,5460,2.815725304
5645,12496286,84601,Los Angeles County,5,3,,2193,5127,2.815725304
5646,12496409,505000,Los Angeles County,3,1,,1065,6203,2.815725304
5647,12496678,97992,Los Angeles County,2,1,,1373,5077,2.815725304
5648,12496801,313307,Los Angeles County,2,1,,1316,6213,2.815725304
5649,12496901,165379,Los Angeles County,3,2,,1356,5405,2.815725304
5650,12497423,154362,Los Angeles County,2,2,Y,1716,5875,2.815725304
5651,12497684,257046,Los Angeles County,3,2,,1570,6341,2.815725304
5652,12497730,192632,Los Angeles County,2,1,,1419,5687,2.815725304
5653,12498021,109374,Los Angeles County,3,2,,1323,6271,2.815725304
5654,12498144,448900,Los Angeles County,3,2,,1524,6347,2.815725304
5655,12498305,260156,Los Angeles County,3,2,,1661,5989,2.815725304
5656,12498642,291000,Los Angeles County,2,1,,856,3168,2.815725304
5657,12498742,257608,Los Angeles County,2,1,,1352,8352,2.815725304
5658,12499225,430000,Los Angeles County,2,2,,1151,6815,2.815725304
5659,12499348,490230,Los Angeles County,5,4,,3053,6994,2.815725304
5660,12499448,82948,Los Angeles County,4,3,,1817,5400,2.815725304
5661,12499671,389000,Los Angeles County,2,1,,896,5401,2.815725304
5662,12500000,275056,Los Angeles County,3,2,,1940,7763,2.815725304
5663,12500374,95885,Los Angeles County,2,1,,941,5400,2.815725304
5664,12501397,36056,Los Angeles County,3,1,,1306,6007,2.815725304
5665,12501566,189704,Los Angeles County,2,1,,1374,6369,2.815725304
5666,12502520,285000,Los Angeles County,3,1,,884,5045,2.815725304
5667,12504707,388000,Los Angeles County,2,2,,1420,5231,2.815725304
5668,12504950,210735,Los Angeles County,2,1,,716,2320,2.815725304
5669,12507132,474558,Los Angeles County,3,3,,1896,3580,2.815725304
5670,12508051,400000,Los Angeles County,3,1,Y,1234,6501,2.815725304
5671,12508897,351830,Los Angeles County,3,2,,2164,5013,2.815725304
5672,12508920,390309,Los Angeles County,3,3,,2710,5009,2.815725304
5673,12509733,439000,Los Angeles County,2,1,,908,6241,2.815725304
5674,12509779,221004,Los Angeles County,2,1,,1164,6507,2.815725304
5675,12510109,410371,Los Angeles County,2,1,,969,5514,2.815725304
5676,12510324,57337,Los Angeles County,3,1,,1161,6013,2.815725304
5677,12510347,96624,Los Angeles County,2,2,,1458,5983,2.815725304
5678,12510708,278134,Los Angeles County,3,2,,1608,5667,2.815725304
5679,12510831,282182,Los Angeles County,3,2,,1648,6123,2.815725304
5680,12512244,453049,Los Angeles County,2,1,,1201,8254,2.815725304
5681,12512344,251147,Los Angeles County,3,2,,1707,6137,2.815725304
5682,12512444,504000,Los Angeles County,3,2,,1552,6040,2.815725304
5683,12512936,326093,Los Angeles County,4,3,,2292,6388,2.815725304
5684,12512974,233898,Los Angeles County,2,2,,1410,6106,2.815725304
5685,12513097,200274,Los Angeles County,2,1,,950,5791,2.815725304
5686,12513243,286309,Los Angeles County,3,2,,1628,5833,2.815725304
5687,12513343,381493,Los Angeles County,4,3,Y,2293,5630,2.815725304
5688,12513604,245122,Los Angeles County,3,2,,2311,5774,2.815725304
5689,12513704,62639,Los Angeles County,2,1,,1164,5533,2.815725304
5690,12514265,75538,Los Angeles County,3,2,,1325,6217,2.815725304
5691,12514411,568000,Los Angeles County,3,1,,1622,6432,2.815725304
5692,12514511,644728,Los Angeles County,4,2,,1872,8372,2.815725304
5693,12514834,297260,Los Angeles County,5,3,,1947,6327,2.815725304
5694,12514964,78981,Los Angeles County,3,2,,1476,7088,2.815725304
5695,12515010,302419,Los Angeles County,3,2,,1466,6737,2.815725304
5696,12515309,397666,Los Angeles County,3,1,,1062,6406,2.815725304
5697,12515409,499000,Los Angeles County,3,1,,1330,6067,2.815725304
5698,12515509,325450,Los Angeles County,3,2,,1878,5962,2.815725304
5699,12515609,600932,Los Angeles County,3,2,,1848,6500,2.815725304
5700,12515755,259061,Los Angeles County,4,2,,1718,6016,2.815725304
5701,12515855,228137,Los Angeles County,3,2,,1884,7087,2.815725304
5702,12516431,195558,Los Angeles County,4,2,,1679,5792,2.815725304
5703,12516469,548165,Los Angeles County,3,2,,1075,6756,2.815725304
5704,12516592,655591,Los Angeles County,3,2,,1909,5995,2.815725304
5705,12516830,508970,Los Angeles County,3,1,,1039,6198,2.815725304
5706,12516930,283561,Los Angeles County,4,2,,2048,8623,2.815725304
5707,12517122,120116,Los Angeles County,3,2,,1670,6235,2.815725304
5708,12517345,328417,Los Angeles County,4,2,,1416,6315,2.815725304
5709,12517445,564000,Los Angeles County,3,2,,1327,6136,2.815725304
5710,12517791,306910,Los Angeles County,2,2,,1451,5277,2.815725304
5711,12518260,542000,Los Angeles County,2,2,,1443,5485,2.815725304
5712,12518406,131415,Los Angeles County,3,2,,1738,5917,2.815725304
5713,12518529,314683,Los Angeles County,4,2,,2013,5159,2.815725304
5714,12518652,421767,Los Angeles County,3,2,,1577,5728,2.815725304
5715,12518775,284582,Los Angeles County,5,3,,2504,5717,2.815725304
5716,12518875,588000,Los Angeles County,4,3,,1616,5538,2.815725304
5717,12518975,512000,Los Angeles County,2,1,,1406,4997,2.815725304
5718,12519075,237136,Los Angeles County,3,2,,1686,5581,2.815725304
5719,12519535,239130,Los Angeles County,4,2,,1399,5333,2.815725304
5720,12520058,83594,Los Angeles County,4,2,,1853,5876,2.815725304
5721,12520265,758210,Los Angeles County,3,2,,1566,6522,2.815725304
5722,12520365,541328,Los Angeles County,4,4,,2773,6437,2.815725304
5723,12521592,489000,Los Angeles County,3,2,,1048,5449,2.815725304
5724,12521692,571188,Los Angeles County,3,2,,1294,5685,2.815725304
5725,12521792,64046,Los Angeles County,3,2,,1018,5210,2.815725304
5726,12521892,345268,Los Angeles County,3,2,,1826,6841,2.815725304
5727,12522015,278265,Los Angeles County,4,3,,2667,6154,2.815725304
5728,12522115,520900,Los Angeles County,4,2,,1728,5846,2.815725304
5729,12522422,413337,Los Angeles County,4,2,,1745,7528,2.815725304
5730,12523711,836382,Los Angeles County,3,3,,2320,9555,2.815725304
5731,12523964,201690,Los Angeles County,3,3,,2822,8620,2.815725304
5732,12524944,959457,Los Angeles County,4,3,,2382,7724,2.815725304
5733,12525013,837740,Los Angeles County,2,3,,2505,8516,2.815725304
5734,12525174,676045,Los Angeles County,3,2,,2122,2755,2.815725304
5735,12525274,349480,Los Angeles County,4,4,,3070,5231,2.815725304
5736,12526902,524780,Los Angeles County,4,2,,2186,3204,2.815725304
5737,12527063,627203,Los Angeles County,3,3,,2131,2336,2.815725304
5738,12527155,473245,Los Angeles County,3,2,,1036,2293,2.815725304
5739,12527308,1180964,Los Angeles County,3,3,,2952,2474,2.815725304
5740,12527431,152842,Los Angeles County,3,3,,2074,2547,2.815725304
5741,12527861,447587,Los Angeles County,3,1,,1113,3189,2.815725304
5742,12527953,569716,Los Angeles County,3,3,,3669,3706,2.815725304
5743,12527999,886246,Los Angeles County,4,4,,2184,3781,2.815725304
5744,12528022,697601,Los Angeles County,4,4,,3572,3434,2.815725304
5745,12529262,456532,Los Angeles County,2,2,,884,2405,2.815725304
